user,time,menu
1,2.4,toolglass
2,2.1,toolglass
3,3.05,toolglass
4,2.57,toolglass
5,2.52,toolglass
6,2.59,toolglass
7,2.46,toolglass
8,2.32,toolglass
9,2.47,toolglass
10,2.4,toolglass
11,2.85,flowmenu
12,1.8,flowmenu
13,3.1,flowmenu
14,2.89,flowmenu
15,2.65,flowmenu
16,2.47,flowmenu
17,2.66,flowmenu
18,2.24,flowmenu
19,2.2,flowmenu
20,2.86,flowmenu
21,2.65,toolpalette
22,2.45,toolpalette
23,3.15,toolpalette
24,2.73,toolpalette
25,2.76,toolpalette
26,2.67,toolpalette
27,2.7,toolpalette
28,2.73,toolpalette
29,2.79,toolpalette
30,2.71,toolpalette
31,2.45,controlmenu
32,1.75,controlmenu
33,3.0,controlmenu
34,2.13,controlmenu
35,2.2,controlmenu
36,2.58,controlmenu
37,2.52,controlmenu
38,2.29,controlmenu
39,2.66,controlmenu
40,2.65,controlmenu
