user,time,error,menu
1,2.39,0,toolglass
2,2.1,6,toolglass
3,3.05,4,toolglass
4,2.52,3,toolglass
5,2.52,8,toolglass
6,2.37,2,toolglass
7,2.59,4,toolglass
8,2.3,7,toolglass
9,2.34,1,toolglass
10,2.49,1,toolglass
1,2.69,23,flowmenu
2,1.8,26,flowmenu
3,3.1,7,flowmenu
4,2.3,30,flowmenu
5,2.46,17,flowmenu
6,2.43,9,flowmenu
7,2.56,31,flowmenu
8,2.75,23,flowmenu
9,2.57,7,flowmenu
10,2.46,7,flowmenu
1,2.79,9,toolpalette
2,2.45,12,toolpalette
3,3.15,21,toolpalette
4,2.84,20,toolpalette
5,2.8,20,toolpalette
6,2.75,13,toolpalette
7,2.75,11,toolpalette
8,2.64,13,toolpalette
9,2.74,22,toolpalette
10,2.76,24,toolpalette
1,2.53,18,controlmenu
2,1.75,15,controlmenu
3,3.0,11,controlmenu
4,2.6,26,controlmenu
5,2.46,11,controlmenu
6,2.21,22,controlmenu
7,2.36,16,controlmenu
8,2.62,25,controlmenu
9,2.45,24,controlmenu
10,2.71,15,controlmenu
